Model,Trial,Mean_Score,Std_Score,Best_Params
SGDClassifier,0,0.7395270969415564,2.812730447150358e-05,"{'loss': 'log_loss', 'penalty': 'l1', 'alpha': 0.8661895281603577, 'learning_rate': 'adaptive', 'eta0': 0.8341182143924175, 'random_state': 42}"
SGDClassifier,1,0.8506279821500919,0.05566403525036678,"{'loss': 'squared_hinge', 'penalty': 'l1', 'alpha': 0.6118917094329073, 'learning_rate': 'adaptive', 'eta0': 0.7873242017790835, 'random_state': 42}"
SGDClassifier,2,0.8138158259080164,0.0836360404479755,"{'loss': 'modified_huber', 'penalty': 'l1', 'alpha': 0.9488906486996079, 'learning_rate': 'constant', 'eta0': 0.6873906962470353, 'random_state': 42}"
SGDClassifier,3,0.9316023965046358,0.003128667040922082,"{'loss': 'modified_huber', 'penalty': 'l1', 'alpha': 0.311779904981802, 'learning_rate': 'adaptive', 'eta0': 0.7773814951275034, 'random_state': 42}"
SGDClassifier,4,0.9685814511357311,0.0023671974163878865,"{'loss': 'hinge', 'penalty': 'l2', 'alpha': 0.325397797730188, 'learning_rate': 'invscaling', 'eta0': 0.28812516459050697, 'random_state': 42}"
SGDClassifier,5,0.9103356913633144,0.07281021397567407,"{'loss': 'modified_huber', 'penalty': 'l1', 'alpha': 0.005621564911890039, 'learning_rate': 'constant', 'eta0': 0.08330420521674946, 'random_state': 42}"
SGDClassifier,6,0.9247456737873925,0.006318239788483029,"{'loss': 'modified_huber', 'penalty': 'l1', 'alpha': 0.32525080369454434, 'learning_rate': 'invscaling', 'eta0': 0.12839830347891867, 'random_state': 42}"
SGDClassifier,7,0.9687973901359147,0.002181396725817,"{'loss': 'squared_hinge', 'penalty': 'l2', 'alpha': 0.025516584831420778, 'learning_rate': 'invscaling', 'eta0': 0.5134849842530558, 'random_state': 42}"
SGDClassifier,8,0.8999708088130278,0.0854464220783425,"{'loss': 'hinge', 'penalty': 'elasticnet', 'alpha': 0.161305165125279, 'learning_rate': 'constant', 'eta0': 0.8056353561301233, 'random_state': 42}"
SGDClassifier,9,0.8010681088832732,0.015450598084693153,"{'loss': 'log_loss', 'penalty': 'l1', 'alpha': 0.22801236902568747, 'learning_rate': 'invscaling', 'eta0': 0.5156398295517901, 'random_state': 42}"
SGDClassifier,10,0.9686354322423437,0.0026118624803014067,"{'loss': 'squared_hinge', 'penalty': 'l2', 'alpha': 0.6044105959824625, 'learning_rate': 'optimal', 'eta0': 0.40323698560081767, 'random_state': 42}"
SGDClassifier,11,0.9686354322423437,0.0026118624803014067,"{'loss': 'squared_hinge', 'penalty': 'l2', 'alpha': 0.5999850760439019, 'learning_rate': 'optimal', 'eta0': 0.4316314561711952, 'random_state': 42}"
SGDClassifier,12,0.9686894133489563,0.002430433911504681,"{'loss': 'squared_hinge', 'penalty': 'l2', 'alpha': 0.741103644459777, 'learning_rate': 'optimal', 'eta0': 0.5316479571256, 'random_state': 42}"
SGDClassifier,13,0.9686894133489563,0.002430433911504681,"{'loss': 'squared_hinge', 'penalty': 'l2', 'alpha': 0.7816344062361258, 'learning_rate': 'optimal', 'eta0': 0.5734695499977832, 'random_state': 42}"
SGDClassifier,14,0.9686894133489563,0.002430433911504681,"{'loss': 'squared_hinge', 'penalty': 'l2', 'alpha': 0.7518002063484773, 'learning_rate': 'optimal', 'eta0': 0.26596852073705235, 'random_state': 42}"
SGDClassifier,15,0.9685814219882654,0.002168370831356919,"{'loss': 'squared_hinge', 'penalty': 'elasticnet', 'alpha': 0.46416951743278384, 'learning_rate': 'invscaling', 'eta0': 0.9543756491856588, 'random_state': 42}"
SGDClassifier,16,0.9687434090293019,0.0022587991791857905,"{'loss': 'squared_hinge', 'penalty': 'l2', 'alpha': 0.02564693986106209, 'learning_rate': 'invscaling', 'eta0': 0.5879936275846777, 'random_state': 42}"
SGDClassifier,17,0.9687973901359147,0.002181396725817,"{'loss': 'squared_hinge', 'penalty': 'l2', 'alpha': 0.01260087918960595, 'learning_rate': 'invscaling', 'eta0': 0.6444218350556039, 'random_state': 42}"
SGDClassifier,18,0.9684734743487727,0.0027318772730203257,"{'loss': 'log_loss', 'penalty': 'l2', 'alpha': 0.09926653511325124, 'learning_rate': 'invscaling', 'eta0': 0.6459082290544692, 'random_state': 42}"
