iter	Logloss
0	0.3731624223
1	0.2463375308
2	0.1840605806
3	0.1570474197
4	0.1422488112
5	0.1342359751
6	0.1289897379
7	0.1251562178
8	0.1226981726
9	0.1201096309
10	0.1178196806
11	0.1162263687
12	0.1145122805
13	0.1133069025
14	0.1122960817
15	0.1111969846
16	0.1097298807
17	0.1092967048
18	0.1091133935
19	0.1081694181
20	0.107861244
21	0.10757979
22	0.106723392
23	0.1066793314
24	0.1065062598
25	0.1047559676
26	0.1037461372
27	0.101987895
28	0.1011759936
29	0.1009632054
30	0.1006982381
31	0.09987912841
32	0.0997625662
33	0.09920415039
34	0.09918851405
35	0.09827880803
36	0.09702132047
37	0.0969004083
38	0.09664237353
39	0.09557663042
40	0.09424213848
41	0.09251665633
42	0.09042966832
43	0.08916221014
44	0.08762343043
45	0.08560192949
46	0.08393873198
47	0.08340848376
48	0.08211258324
49	0.08134455626
50	0.07959173541
51	0.07825566033
52	0.07783383457
53	0.0776161921
54	0.07650341495
55	0.07494230608
56	0.07436517322
57	0.07331591126
58	0.0730078143
59	0.0718355579
60	0.07169391368
61	0.07064671286
62	0.06967297109
63	0.06876380906
64	0.06776432864
65	0.06704799383
66	0.06582289877
67	0.06496286637
68	0.0644236754
69	0.06354307689
70	0.06287119112
71	0.06207356064
72	0.06130684308
73	0.06050474069
74	0.05963370767
75	0.05882438784
76	0.05775955499
77	0.05703974444
78	0.05597933521
79	0.05526689766
80	0.05464802935
81	0.05348772854
82	0.0530513301
83	0.05274882791
84	0.05231501055
85	0.05206413952
86	0.05189864289
87	0.05157375125
88	0.0509315991
89	0.050644432
90	0.05036970096
91	0.04997116822
92	0.04960668113
93	0.0491487579
94	0.04876330092
95	0.04827232885
96	0.04814588236
97	0.04745026805
98	0.04694550775
99	0.04682049905
100	0.04652826297
101	0.04639198985
102	0.04618173331
103	0.04585609547
104	0.04531815689
105	0.04520335982
106	0.04504228912
107	0.04477195051
108	0.04439711652
109	0.0442823436
110	0.04396766639
111	0.04360037142
112	0.04326565563
113	0.04267232872
114	0.04237860909
115	0.04205224161
116	0.04177422187
117	0.04153400645
